id_aluno,sexo,idade,tipo_de_cota,coeficiente,naturalidade_op,total_reprovacao_nota,total_reprovacao_falta,target_evasao
339,M,22,L5,3.5,0,0,0,0
340,F,22,AC,6.0,0,0,0,0
341,M,23,AC,7.5,0,0,0,0
342,F,24,AC,7.7,0,0,0,0
343,M,24,L6,5.0,1,0,0,0
344,M,23,AC,6.1,0,0,0,0
345,F,23,AC,7.6,0,0,0,0
346,F,27,L6,6.1,0,0,0,0
347,M,26,L5,6.9,0,0,0,0
348,M,22,L5,5.3,0,0,0,0
349,M,29,L1,6.5,0,0,0,0
350,M,22,AC,7.0,0,0,0,1
351,M,22,L1,5.8,0,0,0,1
352,F,29,L2,6.6,0,0,0,0
353,F,22,L6,8.5,0,0,0,0
354,M,23,L6,8.4,0,0,0,0
355,M,23,L6,8.8,0,0,0,0
356,F,24,L6,7.4,0,0,0,0
357,M,24,L1,4.7,0,0,0,0
358,M,25,AC,3.7,0,0,0,1
359,F,23,AC,8.1,0,0,0,0
360,M,23,L2,3.3,0,0,0,1
361,M,23,L2,9.1,0,0,0,0
362,F,22,L1,6.5,0,0,0,0
363,F,23,L2,2.2,0,0,0,0
364,F,24,L2,6.6,0,0,0,0
365,M,23,L1,6.7,0,0,0,0
366,F,23,L2,3.7,0,0,0,0
367,M,25,L1,3.8,0,0,0,0
368,M,24,L6,2.5,0,0,0,1
369,M,22,L6,6.7,0,0,0,0
370,M,22,L6,7.7,0,0,0,0
371,M,23,L5,8.3,0,0,0,0
372,M,23,AC,9.6,0,0,0,0
373,M,23,AC,4.8,0,0,0,0
374,M,29,L5,8.7,0,0,0,0
375,M,22,L6,8.0,0,0,0,0
376,M,22,L6,7.7,0,0,0,0
377,M,23,AC,7.6,0,0,0,0
378,M,22,AC,7.5,0,0,0,0
379,F,22,AC,4.0,0,0,0,1
380,M,22,L5,9.5,0,0,0,0
381,F,25,AC,6.4,0,0,0,0
382,F,24,AC,8.1,0,0,0,0
383,M,23,AC,6.2,0,0,0,0
384,M,23,AC,6.5,0,0,0,0
385,M,25,L5,6.9,0,0,0,0
386,M,23,AC,6.5,0,0,0,0
387,M,24,AC,7.3,0,0,0,0
388,M,23,AC,4.6,0,0,0,0
389,M,22,AC,8.3,0,0,0,0
390,F,22,AC,2.8,0,0,0,0
391,M,28,AC,6.2,0,0,0,0
392,F,24,L2,3.2,0,0,0,0
393,M,24,L1,8.9,1,0,0,0
394,F,33,AC,0.0,0,0,0,1
395,M,23,L5,4.9,0,0,0,0
396,F,23,AC,4.0,0,0,0,1
397,M,23,AC,7.5,0,0,0,0
398,M,31,AC,6.1,0,0,0,0
399,M,27,AC,6.6,1,0,0,0
400,M,29,AC,4.8,1,0,0,0
401,M,25,AC,2.6,0,0,0,1
402,M,23,AC,4.8,0,0,0,0
403,M,29,AC,0.1,0,0,0,1
404,M,28,AC,6.6,0,0,0,0
405,F,24,L1,7.7,0,0,0,0
406,M,24,L2,6.2,0,0,0,0
407,M,24,L2,5.8,0,0,0,0
408,M,23,L1,2.3,0,0,0,1
409,M,23,L2,6.1,0,0,0,0
410,M,23,L1,0.4,0,0,0,1
411,M,33,AC,9.1,0,0,0,0
412,M,27,AC,4.4,0,0,0,0
413,F,23,L6,5.6,1,0,0,0
414,F,24,AC,6.2,0,0,0,0
415,F,26,AC,5.4,0,0,0,1
416,M,25,L5,7.4,0,0,0,0
417,M,23,L5,6.5,0,0,0,0
418,M,25,L1,6.9,0,0,0,0
419,M,23,AC,7.5,0,0,0,0
420,F,23,L5,6.7,0,0,0,0
421,M,23,AC,0.0,0,0,0,1
422,F,30,AC,0.0,0,0,0,1
423,M,25,AC,0.0,0,0,0,1
424,M,24,AC,5.6,0,0,0,0
425,M,26,AC,7.1,0,0,0,1
426,M,24,AC,4.1,0,0,0,0
427,F,42,L6,1.2,0,0,0,1
428,M,30,L6,2.2,0,0,0,1
429,F,23,L1,3.8,0,0,0,1
430,M,26,L2,4.7,0,0,0,0
431,M,26,L2,0.5,0,0,0,1
432,M,24,AC,6.4,0,0,0,1
433,M,24,AC,8.7,0,0,0,0
434,M,34,L1,4.5,0,0,0,1
435,M,26,L1,4.9,0,0,0,1
436,M,26,L2,4.2,0,0,0,0
